field	standardized_value	semantic_class	proposed_destination	reason	assembly_accession	biosample	organism	raw_attribute_name	raw_value	Host	Host_SD	Host_Context_SD	Host_Disease_SD	Host_Health_State_SD	Host_Production_Context_SD	Host_Anatomical_Site_SD	Isolation Source	Isolation_Source_SD	Isolation_Source_SD_Broad	Sample Type	Sample_Type_SD	Sample_Type_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Medium_SD_Broad	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Collection Date	Country
Sample_Type_SD	respiratory sample	metadata_descriptor	suppress/provenance only	Sample_Type fields should contain physical specimen/material values only.	GCA_000186005.1	SAMN02604339	Mycoplasmopsis fermentans M64	Host	absent	absent	Homo sapiens			diseased			a non-AIDS patient with acute respiratory disease	clinical/host-associated material	clinical/host-associated material		respiratory sample	clinical/host-associated material	respiratory tract					absent	absent
Sample_Type_SD	oral swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000186125.1	SAMN02463786	Bacillus sp. BT1B_CT2	Isolation Source	oral swab from a patient with Crohn's disease	Homo sapiens	Homo sapiens		inflammatory bowel disease	diseased		oral cavity	oral swab from a patient with Crohn's disease	clinical/host-associated material	clinical/host-associated material		oral swab	swab	oral cavity	biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Sample_Type_SD	oral swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000186145.1	SAMN02463787	Bacillus sp. 2_A_57_CT2	Isolation Source	oral swab from a patient with Crohn's disease	Homo sapiens	Homo sapiens		inflammatory bowel disease	diseased		oral cavity	oral swab from a patient with Crohn's disease	clinical/host-associated material	clinical/host-associated material		oral swab	swab	oral cavity	biological product	biological/clinical product	terrestrial environment	gut/fecal local context	absent	absent
Isolation_Source_SD_Broad	environmental/geologic material	unresolved	admin_review	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000186245.1	SAMN00713578	Nitratifractor salsuginis DSM 16511	Host	absent	absent							deep-sea hydrothermal vent chimney from the Iheya North hydrothermal field in the Mid-Okinawa Trough	deep-sea hydrothermal vent chimney from the Iheya North hydrothermal field in the Mid-Okinawa Trough	environmental/geologic material							geologic/extreme environment		absent	Japan
Sample_Type_SD	environmental swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000188955.5	SAMN00710608	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	Isolation Source	environmental swab	absent							environmental swab	environmental material	environmental material		environmental swab	swab		air	environmental material	environmental sample		2010	United States
Isolation_Source_SD_Broad	plant-associated material	host_context	Host_Context_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000190375.2	SAMN02471805	Rubrivivax benzoatilyticus JA2 = ATCC BAA-35	Host	absent	absent							benzoate enrichments of flooded paddy field rhizosphere	plant-associated material	plant-associated material				plant root/rhizosphere	soil	soil	plant-associated environment		1997	absent
Sample_Type_SD_Broad	host-associated context	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000191665.1	SAMN02470542	Escherichia fergusonii ECD227	Host	Gallus gallus domesticus	Gallus gallus domesticus	Gallus gallus		healthy/no disease reported	healthy			a healthy broiler chicken at farm	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context					farm	2004	Canada
Sample_Type_SD	broiler	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000191665.1	SAMN02470542	Escherichia fergusonii ECD227	Isolation Source	a healthy broiler chicken at farm	Gallus gallus domesticus	Gallus gallus		healthy/no disease reported	healthy			a healthy broiler chicken at farm	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context					farm	2004	Canada
Isolation_Source_SD_Broad	clinical fluid/material	sample_material	Sample_Type_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000193475.1	SAMN02435836	Burkholderia pseudomallei 1106b	Host	Homo sapiens	Homo sapiens	Homo sapiens						pus aspirated from liver abscess	clinical fluid/material	clinical fluid/material				organ/tissue site					1996	Thailand
Isolation_Source_SD	clinical fluid/material	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000193475.1	SAMN02435836	Burkholderia pseudomallei 1106b	Host	Homo sapiens	Homo sapiens	Homo sapiens						pus aspirated from liver abscess	clinical fluid/material	clinical fluid/material				organ/tissue site					1996	Thailand
Sample_Type_SD	DNA extract	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000193495.2	SAMD00036545	Acetobacter aceti NBRC 14818	Host	absent	absent							G_DNA_Palatine Tonsils	clinical/host-associated material	clinical/host-associated material		DNA extract	molecular extract						absent	absent
Sample_Type_SD_Broad	molecular extract	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000193495.2	SAMD00036545	Acetobacter aceti NBRC 14818	Host	absent	absent							G_DNA_Palatine Tonsils	clinical/host-associated material	clinical/host-associated material		DNA extract	molecular extract						absent	absent
Isolation_Source_SD	fermented milk/dairy product	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000194765.1	SAMN02603876	Lacticaseibacillus paracasei	Host	absent	absent							homemade koumiss	fermented milk/dairy product	food/dairy		fermented milk/dairy product	food/dairy						absent	China
Host_Disease_SD	diseased	health_state	Host_Health_State_SD	Host_Disease_SD should contain named diseases or defensible disease classes only.	GCA_000195475.2	SAMN02469785	Vibrio coralliilyticus P1	Isolation Source	diseased coral	absent	Anthozoa		diseased	diseased			diseased coral	clinical/host-associated material	clinical/host-associated material									absent	absent
Sample_Type_SD_Broad	culture	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000211295.1	SAMN02603925	Mesomycoplasma hyorhinis MCLD	Isolation Source	melanoma cell line LB33 mel A1 culture	absent							melanoma cell line LB33 mel A1 culture	clinical/host-associated material	clinical/host-associated material		culture	culture						absent	absent
Sample_Type_SD	culture	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000211295.1	SAMN02603925	Mesomycoplasma hyorhinis MCLD	Isolation Source	melanoma cell line LB33 mel A1 culture	absent							melanoma cell line LB33 mel A1 culture	clinical/host-associated material	clinical/host-associated material		culture	culture						absent	absent
Sample_Type_SD	DNA extract	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000211495.1	SAMD00036551	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	Host	absent	absent							G_DNA_L_Retroauricular crease	clinical/host-associated material	clinical/host-associated material		DNA extract	molecular extract						absent	absent
Sample_Type_SD_Broad	molecular extract	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000211495.1	SAMD00036551	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	Host	absent	absent							G_DNA_L_Retroauricular crease	clinical/host-associated material	clinical/host-associated material		DNA extract	molecular extract						absent	absent
Isolation_Site_SD	manure	sample_material	Sample_Type_SD	Site field contains non-anatomical context/material.	GCA_000212915.1	SAMN02256469	Bacteroides coprosuis DSM 18011	Isolation Source	Pig faeces, swine manure; USA	Sus scrofa	Sus scrofa						Pig faeces, swine manure; USA				feces/stool	feces/stool	manure	manure	agricultural fecal material			absent	United States
Sample_Type_SD	laboratory	environment_local_scale	Environment_Local_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000213235.1	SAMN00713617	Tepidanaerobacter acetatoxydans Re1	Isolation Source	ammonium-rich, mesophilic methanogenic a continuously stirred laboratory-scale reactor	absent							ammonium-rich, mesophilic methanogenic a continuously stirred laboratory-scale reactor	environmental material	environmental material		laboratory	laboratory environment		sludge	wastewater/sewage	wastewater/sewage	laboratory	1900	Sweden
Sample_Type_SD_Broad	laboratory environment	environment_local_scale	Environment_Local_Scale_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000213235.1	SAMN00713617	Tepidanaerobacter acetatoxydans Re1	Host	absent	absent							ammonium-rich, mesophilic methanogenic a continuously stirred laboratory-scale reactor	environmental material	environmental material		laboratory	laboratory environment		sludge	wastewater/sewage	wastewater/sewage	laboratory	1900	Sweden
Isolation_Site_SD	plant-associated material	host_context	Host_Context_SD	Isolation_Site_SD should contain anatomical sites or plant parts only.	GCA_000214805.1	SAMN00713631	Serratia sp. AS13	Host	absent	absent	Viridiplantae						Rapeseed plant	plant-associated material	plant-associated material				plant-associated material			plant-associated environment		absent	absent
Sample_Type_SD	wound/lesion/abscess swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000220005.2	SAMN02471895	Escherichia coli UMNF18	Host	porcine	porcine	Sus scrofa		diarrheal disease	diseased			lesion swab of diarrheal isolate	clinical fluid/material	clinical fluid/material		wound/lesion/abscess swab	clinical fluid/material						2007	United States
Isolation_Source_SD_Broad	clinical fluid/material	sample_material	Sample_Type_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000220005.2	SAMN02471895	Escherichia coli UMNF18	Host	porcine	porcine	Sus scrofa		diarrheal disease	diseased			lesion swab of diarrheal isolate	clinical fluid/material	clinical fluid/material		wound/lesion/abscess swab	clinical fluid/material						2007	United States
Isolation_Source_SD	clinical fluid/material	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_000220005.2	SAMN02471895	Escherichia coli UMNF18	Host	porcine	porcine	Sus scrofa		diarrheal disease	diseased			lesion swab of diarrheal isolate	clinical fluid/material	clinical fluid/material		wound/lesion/abscess swab	clinical fluid/material						2007	United States
Sample_Type_SD_Broad	host-associated context	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000221945.4	SAMN02470228	Avibacterium paragallinarum 72	Host	Gallus gallus	Gallus gallus	Gallus gallus						infraorbital sinuses of a broiler from an infectious coryza outbreak	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context						2010	Peru
Sample_Type_SD	broiler	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000221945.4	SAMN02470228	Avibacterium paragallinarum 72	Isolation Source	infraorbital sinuses of a broiler from an infectious coryza outbreak	Gallus gallus	Gallus gallus						infraorbital sinuses of a broiler from an infectious coryza outbreak	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context						2010	Peru
Sample_Type_SD	oral/oropharyngeal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000222005.2	SAMN02952883	Haemophilus haemolyticus M19107	Host	Homo sapiens	Homo sapiens	Homo sapiens						OP swab	clinical/host-associated material	clinical/host-associated material		oral/oropharyngeal swab	swab						absent	United States
Sample_Type_SD	oral/oropharyngeal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000222025.2	SAMN02952884	Haemophilus haemolyticus M19501	Host	Homo sapiens	Homo sapiens	Homo sapiens						OP swab	clinical/host-associated material	clinical/host-associated material		oral/oropharyngeal swab	swab						absent	United States
Sample_Type_SD	sponge	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000224005.3	SAMN02256540	Marichromatium purpuratum 984	Isolation Source	marine sponge	absent	Porifera						marine sponge	environmental material	environmental material		sponge	surface/sample collection material		agricultural/food-production water	water	freshwater environment		1980	absent
Sample_Type_SD_Broad	surface/sample collection material	metadata_descriptor	suppress/provenance only	Sample_Type fields should contain physical specimen/material values only.	GCA_000224005.3	SAMN02256540	Marichromatium purpuratum 984	Host	absent	absent	Porifera						marine sponge	environmental material	environmental material		sponge	surface/sample collection material		agricultural/food-production water	water	freshwater environment		1980	absent
Sample_Type_SD	enrichment culture	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000224695.2	SAMN02470954	Sphingobium yanoikuyae XLDN2-5	Isolation Source	enrichment culture from petroleum-contaminated soil	absent							enrichment culture from petroleum-contaminated soil	environmental material	environmental material		enrichment culture	culture		soil	soil	terrestrial environment		absent	absent
Sample_Type_SD	oral swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000225385.2	SAMN02471912	Streptococcus salivarius M18	Isolation Source	oral swab from healthy volunteer	Homo sapiens	Homo sapiens		healthy/no disease reported	healthy		oral cavity	oral swab from healthy volunteer	clinical/host-associated material	clinical/host-associated material		oral swab	swab	oral cavity					absent	New Zealand
Host_Disease_SD	diseased	health_state	Host_Health_State_SD	Host_Disease_SD should contain named diseases or defensible disease classes only.	GCA_000225805.1	SAMN02471563	Pseudomonas savastanoi pv. phaseolicola 1644R	Isolation Source	diseased mung beans	Vigna radiata	Vigna radiata		diseased	diseased			diseased mung beans	clinical/host-associated material	clinical/host-associated material									absent	absent
Isolation_Site_SD	plant-associated material	host_context	Host_Context_SD	Isolation_Site_SD should contain anatomical sites or plant parts only.	GCA_000225975.2	SAMN02471171	Xanthomonas sacchari NCPPB 4393	Host	insect	insect	Insecta						insect associated with banana plant	plant-associated material	plant-associated material				plant-associated material			plant-associated environment		absent	Tanzania
Sample_Type_SD_Broad	agricultural environment	environment_broad_scale	Environment_Broad_Scale_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000226625.1	SAMN02602982	Taylorella asinigenitalis MCE3	Host	donkey	donkey	Equus asinus						genital tract of 6 year-old jack from a stud farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment					farm	2004	France
Sample_Type_SD	farm	environment_local_scale	Environment_Local_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000226625.1	SAMN02602982	Taylorella asinigenitalis MCE3	Isolation Source	genital tract of 6 year-old jack from a stud farm	donkey	Equus asinus						genital tract of 6 year-old jack from a stud farm	clinical/host-associated material	clinical/host-associated material		farm	agricultural environment					farm	2004	France
Sample_Type_SD	dental plaque	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000226755.2	SAMN02471943	Aggregatibacter actinomycetemcomitans serotype e str. SC1083	Isolation Source	Culture from dental plaque samples submitted by extramural dentists to the Oral Microbiology Testing Laboratory at the Hermans Ostrow School of Dentistry of USC. It is presumably from a periodontally diseased subjects but the periodontal diagnosis is unknown.	Homo sapiens	Homo sapiens		diseased	diseased		oral cavity	Culture from dental plaque samples submitted by extramural dentists to the Oral Microbiology Testing Laboratory at the Hermans Ostrow School of Dentistry of USC. It is presumably from a periodontally diseased subjects but the periodontal diagnosis is unknown.	clinical/host-associated material	clinical/host-associated material		dental plaque	clinical/host-associated material	oral cavity	laboratory	laboratory environment	laboratory environment	laboratory	absent	absent
Sample_Type_SD	dental plaque	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000227785.2	SAMN02436626	Streptococcus sobrinus TCI-9	Isolation Source	dental plaque	Homo sapiens	Homo sapiens					oral cavity	dental plaque	clinical/host-associated material	clinical/host-associated material		dental plaque	clinical/host-associated material	oral cavity					2009	Brazil
Sample_Type_SD	dental plaque	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000227805.2	SAMN02436627	Streptococcus sobrinus TCI-13	Isolation Source	dental plaque	Homo sapiens	Homo sapiens					oral cavity	dental plaque	clinical/host-associated material	clinical/host-associated material		dental plaque	clinical/host-associated material	oral cavity					2009	Brazil
Sample_Type_SD	culture	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000235785.2	SAMN02469944	Lacticaseibacillus rhamnosus R0011	Isolation Source	dairy starter culture	absent							dairy starter culture	dairy food	food/dairy		culture	culture				food-associated environment		1976	Canada
Sample_Type_SD	dairy farm	environment_local_scale	Environment_Local_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000240465.2	SAMN02472020	Mycobacterium avium subsp. paratuberculosis Env 210	Isolation Source	soil and untensils from dairy farm	absent							soil and untensils from dairy farm	dairy food	food/dairy		dairy farm	agricultural environment		soil	soil	food-associated environment	dairy farm	absent	absent
Sample_Type_SD	dairy farm	environment_local_scale	Environment_Local_Scale_SD	Environmental terms should not be physical sample type values.	GCA_000240505.2	SAMN02472016	Mycobacterium avium subsp. avium Env 77	Isolation Source	soil and untensils from a dairy farm	absent							soil and untensils from a dairy farm	dairy food	food/dairy		dairy farm	agricultural environment		soil	soil	food-associated environment	dairy farm	absent	absent
Sample_Type_SD	lettuce	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000240785.2	SAMN00754301	Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06	Isolation Source	iceberg head of lettuce	unknown	Lactuca sativa						iceberg head of lettuce	plant/produce food product	food		lettuce	food/produce						absent	absent
Isolation_Source_SD_Broad	water	environment_medium	Environment_Medium_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_000241785.1	SAMN02470712	Aliivibrio fischeri SR5	Host	Sepiola robusta (bobtail squid)	Sepiola robusta (bobtail squid)	sepiola robusta						Mediterranean Sea	Mediterranean Sea	water							marine environment		absent	Mediterranean Sea
Sample_Type_SD_Broad	environmental/geologic material	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000242655.2	SAMN02470163	Pseudomonas sp. PAMC 25886	Host	absent	absent							glacier's cryoconite	clinical/host-associated material	clinical/host-associated material		glacier	environmental/geologic material		cryoconite			glacier	absent	Austria
Sample_Type_SD	glacier	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000242655.2	SAMN02470163	Pseudomonas sp. PAMC 25886	Isolation Source	glacier's cryoconite	absent							glacier's cryoconite	clinical/host-associated material	clinical/host-associated material		glacier	environmental/geologic material		cryoconite			glacier	absent	Austria
Sample_Type_SD	glacier	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000242815.2	SAMN02470164	Janthinobacterium lividum PAMC 25724	Isolation Source	glacier's cryoconite from Alps mountain	absent							glacier's cryoconite from Alps mountain	clinical/host-associated material	clinical/host-associated material		glacier	environmental/geologic material		cryoconite			glacier	absent	Austria
Host_Health_State_SD	carrier	colonization_status	Host_Colonization_Status_SD	Colonization/carrier status should move to Host_Colonization_Status_SD.	GCA_000245535.1	SAMN02603101	Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12	Isolation Source	typhoid carrier	Homo sapiens	Homo sapiens			carrier			typhoid carrier	clinical/host-associated material	clinical/host-associated material									absent	India
Sample_Type_SD	single cell	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000252565.1	SAMN02436185	SAR86 cluster bacterium SAR86C	Isolation Source	single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier								single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier	environmental material	environmental material	single cell	single cell	single cell		seawater	water	marine environment		2009	absent
Sample_Type_SD_Broad	single cell	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000252565.1	SAMN02436185	SAR86 cluster bacterium SAR86C	Isolation Source	single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier								single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier	environmental material	environmental material	single cell	single cell	single cell		seawater	water	marine environment		2009	absent
Sample_Type_SD	single cell	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000252585.1	SAMN02436216	SAR86 cluster bacterium SAR86D	Isolation Source	single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier								single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier	environmental material	environmental material	single cell	single cell	single cell		seawater	water	marine environment		2009	absent
Sample_Type_SD_Broad	single cell	sample_processing	Sample_Processing_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000252585.1	SAMN02436216	SAR86 cluster bacterium SAR86D	Isolation Source	single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier								single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the Scripps Institution of Oceanography Pier	environmental material	environmental material	single cell	single cell	single cell		seawater	water	marine environment		2009	absent
Sample_Type_SD	swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000252915.3	SAMN02471877	Klebsiella oxytoca 11492-1	Isolation Source	peri-anal swab culture	Homo sapiens	Homo sapiens						peri-anal swab culture	clinical/host-associated material	clinical/host-associated material		swab	swab						2005	United States
Sample_Type_SD	secretion	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000253135.1	SAMEA2271964	Staphylococcus aureus subsp. aureus ECT-R 2	Isolation Source	human wound secretion	Homo sapiens	Homo sapiens						human wound secretion	clinical/host-associated material	clinical/host-associated material		secretion	clinical fluid/material	wound					2005	Sweden
Sample_Type_SD_Broad	host-associated context	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000254295.2	SAMN02428944	Campylobacter jejuni subsp. jejuni LMG 23216	Host	chicken	chicken	Gallus gallus						broiler feces from chicken farm collected between 1998-2001	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context				host-associated gut/oral/fecal environment	gut/fecal local context	1998	Belgium
Sample_Type_SD	broiler	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000254295.2	SAMN02428944	Campylobacter jejuni subsp. jejuni LMG 23216	Isolation Source	broiler feces from chicken farm collected between 1998-2001	chicken	Gallus gallus						broiler feces from chicken farm collected between 1998-2001	clinical/host-associated material	clinical/host-associated material		broiler	host-associated context				host-associated gut/oral/fecal environment	gut/fecal local context	1998	Belgium
Sample_Type_SD	nodule	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_000256565.1	SAMN02469784	Herbaspirillum lusitanum P6-12	Isolation Source	root nodule	Phaseolus vulgaris	Phaseolus vulgaris						root nodule	plant-associated material	plant-associated material		nodule	plant-associated material	plant root/rhizosphere			plant-associated environment		absent	Brazil
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site	Host_Anatomical_Site_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000256645.1	SAMN02393735	Streptococcus pneumoniae SV36	Isolation Source	nasopharynx	Homo sapiens	Homo sapiens						nasopharynx	clinical/host-associated material	clinical/host-associated material		nasopharynx/oropharynx	upper respiratory tract	nasopharynx/oropharynx					1996	United States
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site	Host_Anatomical_Site_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000256645.1	SAMN02393735	Streptococcus pneumoniae SV36	Host	Homo sapiens	Homo sapiens	Homo sapiens						nasopharynx	clinical/host-associated material	clinical/host-associated material		nasopharynx/oropharynx	upper respiratory tract	nasopharynx/oropharynx					1996	United States
Sample_Type_SD	nasopharynx/oropharynx	anatomical_site	Host_Anatomical_Site_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000256665.1	SAMN02393736	Streptococcus pneumoniae 459-5	Host	Homo sapiens	Homo sapiens	Homo sapiens		healthy/no disease reported	healthy			nasopharynx sample from healthy child at a day care	clinical/host-associated material	clinical/host-associated material		nasopharynx/oropharynx	upper respiratory tract	nasopharynx/oropharynx					1996	Portugal
Sample_Type_SD_Broad	upper respiratory tract	anatomical_site	Host_Anatomical_Site_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000256665.1	SAMN02393736	Streptococcus pneumoniae 459-5	Host	Homo sapiens	Homo sapiens	Homo sapiens		healthy/no disease reported	healthy			nasopharynx sample from healthy child at a day care	clinical/host-associated material	clinical/host-associated material		nasopharynx/oropharynx	upper respiratory tract	nasopharynx/oropharynx					1996	Portugal
Isolation_Site_SD	pus	sample_material	Sample_Type_SD	Site field contains non-anatomical context/material.	GCA_000259735.1	SAMN02471975	Burkholderia pseudomallei 1026a	Isolation Source	pus from a primary melioidosis infection	Homo sapiens	Homo sapiens		melioidosis	diseased			pus from a primary melioidosis infection	clinical/host-associated material	clinical/host-associated material		pus	clinical fluid/material	pus					1993	Thailand
Sample_Type_SD	swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000259915.1	SAMN02471881	Aggregatibacter actinomycetemcomitans RhAA1	Isolation Source	buccal swab	rhesus macaque	Macaca mulatta						buccal swab	clinical/host-associated material	clinical/host-associated material		swab	swab						absent	absent
Sample_Type_SD_Broad	respiratory sample	metadata_descriptor	suppress/provenance only	Sample_Type fields should contain physical specimen/material values only.	GCA_000260615.2	SAMN02471408	Mycobacteroides abscessus M24	Host	Homo sapiens	Homo sapiens	Homo sapiens		infectious disease	diseased		lower respiratory tract/bronch/pleural cavity	bronchoalveolar lavage sample from patient with lung infection	clinical fluid/material	clinical fluid/material		bronchoalveolar lavage fluid	respiratory sample	lower respiratory tract/bronch/pleural cavity					2010	Malaysia
Sample_Type_SD	enrichment culture	sample_processing	Sample_Processing_SD	Processing/preparation terms should move to Sample_Processing_SD.	GCA_000262065.3	SAMN02471394	Metapseudomonas furukawaii	Isolation Source	soil near a biphenyl manufacturing plant, then grown by enrichment culture with biphenyl as sole carbon source	absent							soil near a biphenyl manufacturing plant, then grown by enrichment culture with biphenyl as sole carbon source	environmental material	environmental material		enrichment culture	culture		soil	soil	plant-associated environment		absent	Japan
Sample_Type_SD_Broad	respiratory sample	metadata_descriptor	suppress/provenance only	Sample_Type fields should contain physical specimen/material values only.	GCA_000262105.1	SAMN02469370	Enterococcus faecium LCT-EF128	Host	Homo sapiens	Homo sapiens	Homo sapiens					lower respiratory tract/bronch/pleural cavity	bronchoalveolar lavage	clinical fluid/material	clinical fluid/material		bronchoalveolar lavage fluid	respiratory sample	lower respiratory tract/bronch/pleural cavity					2011	China
Isolation_Site_SD	plant-associated material	host_context	Host_Context_SD	Isolation_Site_SD should contain anatomical sites or plant parts only.	GCA_000264075.1	SAMN02472172	Dickeya zeae ZJU1202	Host	absent	absent	Oryza sativa						rice plant stem and root	plant-associated material	plant-associated material				plant-associated material			plant-associated environment		2012	China
Host_Health_State_SD	dead	vital_status	Host_Vital_Status_SD	Vital status should move to Host_Vital_Status_SD.	GCA_000266865.1	SAMN02471344	Mycoplasmopsis agalactiae 14628	Isolation Source	lung lesions of a dead ibex	ibex	Capra ibex			dead		lower respiratory tract/bronch/pleural cavity	lung lesions of a dead ibex	clinical/host-associated material	clinical/host-associated material				lower respiratory tract/bronch/pleural cavity					2006	France
Sample_Type_SD	skin swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000269685.1	SAMN02471141	Staphylococcus hominis subsp. hominis ZBW5	Isolation Source	skin swab sample	Homo sapiens	Homo sapiens					skin/body surface	skin swab sample	clinical/host-associated material	clinical/host-associated material		skin swab	swab	skin/body surface					2011	China
Sample_Type_SD	fish product	host_context	Host_Context_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000272695.1	SAMN01813413	Salmonella enterica subsp. enterica serovar Newport str. CVM 19449	Host	absent	absent							fish food	seafood/aquatic food product	aquatic food product		fish product	aquatic food product				food-associated environment		absent	Hong Kong
Sample_Type_SD	environmental swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000280075.1	SAMN01041114	Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39	Isolation Source	environmental swab	absent							environmental swab	environmental material	environmental material		environmental swab	swab		air	environmental material	environmental sample		2010	United States
Sample_Type_SD	environmental swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_000280155.1	SAMN01041109	Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6	Isolation Source	environmental swab	absent							environmental swab	environmental material	environmental material		environmental swab	swab		air	environmental material	environmental sample		2010	United States
