normalized_lookup	raw_value	source_column	target_field	standardized_value	broad_value	review_status	confidence	batch_id	issue_type	severity	recommended_action
host organism	host organism		Environment_Broad_Scale_SD	host-associated environment		approved	high	preexisting	none	pass	none
plant root associated	plant_root-associated		Environment_Broad_Scale_SD	plant-associated environment		approved	high	preexisting	none	pass	none
research farm	Research Farm		Environment_Local_Scale_SD	farm		approved	high	preexisting	none	pass	none
blood envo 02000020	blood [ENVO:02000020]		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
envo activated sludge	ENVO:activated sludge		Environment_Medium_SD	sewage	environmental material	approved	high	preexisting	none	pass	none
fish intestine	fish intestine		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
sea water envo 00002149 oligotrophic water envo 00002223	sea water [ENVO_00002149]|oligotrophic water [ENVO_00002223]		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
inland soil	Inland soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
swine farm	swine farm		Environment_Local_Scale_SD	farm		approved	high	preexisting	none	pass	none
meat surface	Meat surface		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
food grade steel surface	food-grade steel surface		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
pork	PORK		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
experimental fish feed	experimental fish feed		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
food chilled	food (chilled)		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
fermented product foodon 03316095 cheese food product foodon 00001013	fermented product [FOODON:03316095] | cheese food product [FOODON:00001013]		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
animal based food product for animal	animal based food product for animal		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
long time ripened cheddar cheese	long-time ripened Cheddar cheese		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
coconut meat foodon 00003856 ready to eat rte foodon 03316636	Coconut meat [FOODON:00003856]; Ready-to-eat (RTE) [FOODON:03316636]		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
multi component food product	multi-component food product		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
peach foodon 00002485 ready to eat rte foodon 03316636 food sliced foodon 00002455 food frozen foodon 03302148	Peach [FOODON:00002485]; Ready-to-eat (RTE) [FOODON:03316636]; Food (sliced) [FOODON:00002455]; Food (frozen) [FOODON:03302148];		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
avocado foodon 00003600 ready to eat rte foodon 03316636 food sliced foodon 00002455 food frozen foodon 03302148	Avocado [FOODON:00003600]; Ready-to-eat (RTE) [FOODON:03316636]; Food (sliced) [FOODON:00002455]; Food (frozen) [FOODON:03302148];		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
mango whole or parts foodon 03000217 ready to eat rte foodon 03316636 food sliced foodon 00002455 food frozen foodon 03302148	Mango (whole or parts) [FOODON:03000217]; Ready-to-eat (RTE) [FOODON:03316636]; Food (sliced) [FOODON:00002455]; Food (frozen) [FOODON:03302148];		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
raw cow milk	Raw cow milk		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
lamb meat	lamb meat		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
fish foodon 00001248	fish [FOODON:00001248]		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
milk product	milk product		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
baby food products	Baby Food products		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
fresh water hot spring	Fresh water, Hot spring		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
healthy	Healthy		Host_Health_State_SD	healthy	host clinical state	approved	high	preexisting	none	pass	none
medially healthy severe advance early childhood dental caries	Medially healthy, severe/advance early childhood dental caries		Host_Health_State_SD	healthy	host clinical state	approved	high	preexisting	none	pass	none
the surface seawater at the pearl river estuary	The surface seawater at the Pearl River Estuary		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
caecum	caecum		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
cecum	cecum		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
colon and cecum	colon and cecum		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
nasopharynx	Nasopharynx		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
uberon oral cavity	UBERON:oral cavity		Isolation_Site_SD	oral cavity		approved	high	preexisting	none	pass	none
rumen	Rumen		Isolation_Site_SD	rumen		approved	high	preexisting	none	pass	none
lower gastrointestinal tract	Lower gastrointestinal tract		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
nasal mucosa	Nasal mucosa		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
diarrhea	Diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
cystic fibrosis	Cystic fibrosis		Host_Disease_SD	cystic fibrosis		approved	high	preexisting	none	pass	none
bacteremia	Bacteremia		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
pneumonia	PNEUMONIA		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
healthy	Healthy		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
gastroenteritis	Gastroenteritis		Host_Disease_SD	gastroenteritis		approved	high	preexisting	none	pass	none
sepsis	SEPSIS		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
pseudomembranous colitis	pseudomembranous colitis		Host_Disease_SD	colitis		approved	high	preexisting	none	pass	none
bloodstream infection	bloodstream infection		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
urinary tract infection	Urinary Tract Infection		Host_Disease_SD	urinary tract infection	host clinical state	approved	high	preexisting	none	pass	none
diarrheic	diarrheic		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
radiographic pneumonia	radiographic pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
mastitis	mastitis		Host_Disease_SD	mastitis		approved	high	preexisting	none	pass	none
neonatal sepsis	neonatal sepsis		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
healthy asymptommatic carriage	Healthy, asymptommatic carriage		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
bronchopneumonia	bronchopneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
cold water disease	Cold water disease		Environment_Medium_SD	metadata descriptor/non-source	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
periodontitis	periodontitis		Host_Disease_SD	periodontal disease	host clinical state	approved	high	preexisting	none	pass	none
urinary infection	urinary infection		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
wound infection	Wound Infection		Host_Disease_SD	wound infection	clinical/host-associated material	approved	high	preexisting	none	pass	none
colitis	colitis		Host_Disease_SD	colitis		approved	high	preexisting	none	pass	none
respiratory infection	Respiratory Infection		Host_Disease_SD	respiratory infection	host clinical state	approved	high	preexisting	none	pass	none
diarrhoea	Diarrhoea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
healthy person	Healthy person		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
aggressive periodontitis	Aggressive periodontitis		Host_Disease_SD	periodontal disease	host clinical state	approved	high	preexisting	none	pass	none
pneumocystis pneumonia pcp	Pneumocystis Pneumonia (PCP)		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
acute diarrhea	acute diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
meningitis	Meningitis		Host_Disease_SD	meningitis		approved	high	preexisting	none	pass	none
clostridium difficile colitis	Clostridium difficile colitis		Host_Disease_SD	colitis		approved	high	preexisting	none	pass	none
blood stream infection	Blood stream infection		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
contralateral healthy mucosa	Contralateral healthy mucosa		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
bacterial meningitis	bacterial meningitis		Host_Disease_SD	meningitis		approved	high	preexisting	none	pass	none
hemorrhagic gastroenteritis	Hemorrhagic gastroenteritis		Host_Disease_SD	gastroenteritis		approved	high	preexisting	none	pass	none
nosocomial antibiotic associated diarrhea	Nosocomial antibiotic-associated diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
healthy no known disease	Healthy; no known disease		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
bacterial pneumonia	Bacterial pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
nosocomial diarrhea	nosocomial diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
acute hemorrhagic diarrhea	Acute hemorrhagic diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
canine acute hemorrhagic diarrhea syndrome	canine acute hemorrhagic diarrhea syndrome		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
none screening isolate	None (screening isolate)		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
bacterial fruit blotch	bacterial fruit blotch		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
blood infection	blood infection		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
healthy patient	Healthy patient		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
contagious caprine pleuropneumonia	Contagious caprine pleuropneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
granulomatous mastitis	Granulomatous mastitis		Host_Disease_SD	mastitis		approved	high	preexisting	none	pass	none
none provided	None provided		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
pneumoniae	pneumoniae		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
upper respiratory infection	upper respiratory infection		Host_Disease_SD	respiratory infection	host clinical state	approved	high	preexisting	none	pass	none
healthy salmon	Healthy salmon		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
primary bacteremia	primary bacteremia		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
healthy liver	healthy liver		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
pleuropneumonia	Pleuropneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
bloodstream infections	bloodstream infections		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
healthy liver control	healthy liver control		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
ventilator associated pneumonia	ventilator associated pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
healthy skin	healthy skin		Host_Disease_SD	healthy/no disease reported	host clinical state	approved	high	preexisting	none	pass	none
surgical wound infection	Surgical Wound Infection		Host_Disease_SD	wound infection	clinical/host-associated material	approved	high	preexisting	none	pass	none
localized juvenile periodontitis	Localized Juvenile periodontitis		Host_Disease_SD	periodontal disease	host clinical state	approved	high	preexisting	none	pass	none
uncomplicated urinary tract infection	uncomplicated urinary tract infection		Host_Disease_SD	urinary tract infection	host clinical state	approved	high	preexisting	none	pass	none
severe pneumonia	Severe pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
bacterial sepsis	bacterial sepsis		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
urine colonization	Urine Colonization		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
stenotrophomonas maltophilia bacteremia	Stenotrophomonas maltophilia bacteremia		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
c difficile associated diarrhea	C. difficile-associated diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
broncho pneumonia	Broncho pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
ulcerative colitis	ulcerative colitis		Host_Disease_SD	colitis		approved	high	preexisting	none	pass	none
diarrheal disease	Diarrheal disease		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
crohn disease	Crohn disease		Host_Disease_SD	inflammatory bowel disease	host clinical state	approved	high	preexisting	none	pass	none
urine infection	Urine Infection		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
pneumonia abortion	pneumonia, abortion		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
urinary tract infections	Urinary tract infections		Host_Disease_SD	urinary tract infection	host clinical state	approved	high	preexisting	none	pass	none
urinary retention	Urinary retention		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
catheter related blood stream infection	catheter-related blood stream infection		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
stool colonization	Stool colonization		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
bacteria sepsis	bacteria sepsis		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
chronic disease pneumonia pharyngitis cystitis enteritis	Chronic disease (Pneumonia, Pharyngitis, Cystitis, Enteritis)		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
antibiotic associated diarrhea	Antibiotic associated diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
bacteremia only	bacteremia only		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
bronchopneumonia fibrinopurulent	Bronchopneumonia, Fibrinopurulent		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
bacterial bronchopneumonia	Bacterial bronchopneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
necrosuppurative bronchopneumonia	necrosuppurative bronchopneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
fibrinosuppurative bronchopneumonia	fibrinosuppurative bronchopneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
mycoplasma pneumoniae pneumoniae	mycoplasma pneumoniae pneumoniae		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
crohn s disease	Crohn's Disease		Host_Disease_SD	inflammatory bowel disease	host clinical state	approved	high	preexisting	none	pass	none
gastroenteritis emetic syndrome	gastroenteritis, emetic syndrome		Host_Disease_SD	gastroenteritis		approved	high	preexisting	none	pass	none
spontaneous bacterial peritonitis complicated by bacteremia	Spontaneous bacterial peritonitis complicated by bacteremia		Host_Disease_SD	sepsis/bacteremia		approved	high	preexisting	none	pass	none
clostridium diffcile colitis	Clostridium diffcile colitis		Host_Disease_SD	colitis		approved	high	preexisting	none	pass	none
acute gastroenteritis and cdi	Acute gastroenteritis and CDI		Host_Disease_SD	gastroenteritis		approved	high	preexisting	none	pass	none
c difficile antibiotic associated diarrhea	C. difficile antibiotic-associated diarrhea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
watery diarrhoea	Watery diarrhoea		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
diarrhea caused by clostridium difficile	Diarrhea caused by clostridium difficile		Host_Disease_SD	diarrheal disease	host clinical state	approved	high	preexisting	none	pass	none
necrotizing enterocolitis	Necrotizing Enterocolitis		Host_Disease_SD	colitis		approved	high	preexisting	none	pass	none
periapical periodontitis	Periapical Periodontitis		Host_Disease_SD	periodontal disease	host clinical state	approved	high	preexisting	none	pass	none
catheter associated urinary tract infection	Catheter associated urinary tract infection		Host_Disease_SD	urinary tract infection	host clinical state	approved	high	preexisting	none	pass	none
bronchopneumoniae	Bronchopneumoniae		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
mycoplasma bovis pneumonia	Mycoplasma bovis pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
pneumonia tonsilitis	pneumonia, tonsilitis		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
pneumonia arthritis	pneumonia, arthritis		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
rhodococcus equi pneumonia	Rhodococcus equi pneumonia		Host_Disease_SD	pneumonia		approved	high	preexisting	none	pass	none
bacterial wilt aka potato brown rot	Bacterial wilt (aka potato brown rot)		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
disease otitis media	disease: otitis media		Host_Health_State_SD	diseased/patient	host clinical state	approved	high	preexisting	none	pass	none
disease pneumonia	disease: pneumonia		Host_Health_State_SD	diseased/patient	host clinical state	approved	high	preexisting	none	pass	none
urinary tract infection	Urinary tract infection		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
disease sepsis	disease: sepsis		Host_Health_State_SD	diseased/patient	host clinical state	approved	high	preexisting	none	pass	none
disease meningitis	disease: meningitis		Host_Health_State_SD	diseased/patient	host clinical state	approved	high	preexisting	none	pass	none
disease bacteraemia	disease: bacteraemia		Host_Health_State_SD	diseased/patient	host clinical state	approved	high	preexisting	none	pass	none
leaf	Leaf		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
root nodule	root nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
gastric biopsy	Gastric Biopsy		Isolation_Site_SD	gastric biopsy		approved	high	preexisting	none	pass	none
nose	nose		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
nasal wash specimen	Nasal Wash Specimen		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
throat	throat		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
vagina	vagina		Isolation_Site_SD	vaginal site		approved	high	preexisting	none	pass	none
cotton leaves	Cotton leaves		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
pork tongue	pork tongue		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
coralloid root	coralloid root		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
intestine	Intestine		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
nasopharyngeal aspirate	Nasopharyngeal aspirate		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
rhizosphere	rhizosphere		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
vaginal fluid	vaginal fluid		Isolation_Site_SD	vaginal site		approved	high	preexisting	none	pass	none
legume root nodule	Legume-root nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
rumen tissue	Rumen tissue		Isolation_Site_SD	rumen		approved	high	preexisting	none	pass	none
actinorhizal nodule	actinorhizal nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
small intestine	small intestine		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
fruit	fruit		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
spleen	spleen		Isolation_Site_SD	spleen		approved	high	preexisting	none	pass	none
root nodules	ROOT NODULES		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
cajanus cajan nodule	Cajanus cajan nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
kidney	Kidney		Isolation_Site_SD	kidney		approved	high	preexisting	none	pass	none
cajanus cajan root	Cajanus cajan root		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
wound swab	Wound swab		Sample_Type_SD	wound swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
nasal cavity	nasal cavity		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
pork cheek	pork cheek		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
dental plaque	dental plaque		Isolation_Site_SD	dental plaque		approved	high	preexisting	none	pass	none
pharyngeal exudate	pharyngeal exudate		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
blood plasma	blood plasma		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
nodule	nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
leaves	Leaves		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
intestines	intestines		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
peripheral blood mononuclear cells	Peripheral Blood Mononuclear Cells		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
bronchoalveolar lavage	Bronchoalveolar lavage		Isolation_Site_SD	bronchoalveolar lavage fluid	clinical/host-associated material	approved	high	preexisting	none	pass	none
gastrointestinal mucosa	gastrointestinal mucosa		Isolation_Site_SD	gut content	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
leaf stalk	leaf stalk		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
leaf midribs	leaf midribs		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
throat swab	Throat swab		Sample_Type_SD	oropharyngeal/throat swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
nasal	nasal		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
gastric biopsy specimen	gastric biopsy specimen		Isolation_Site_SD	gastric biopsy		approved	high	preexisting	none	pass	none
head kidney	head kidney		Isolation_Site_SD	kidney		approved	high	preexisting	none	pass	none
caudal kidney	caudal kidney		Isolation_Site_SD	kidney		approved	high	preexisting	none	pass	none
roots	Roots		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
throat culture	Throat culture		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
legume rhizosphere	Legume rhizosphere		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
rice leaf	rice leaf		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
clocal swab	clocal swab		Sample_Type_SD	cloacal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
blood platelet concentrates	Blood (Platelet concentrates)		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
tracheal aspirate	tracheal aspirate		Isolation_Site_SD	tracheal aspirate		approved	high	preexisting	none	pass	none
leaf surface phyllosphere	leaf surface (phyllosphere)		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
common scab lesions on potato tubers	common scab lesions on potato tubers		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
isolated from infected leaves and or fruits obtained from commercial pumpkin production fields	Isolated from infected leaves and/or fruits obtained from commercial pumpkin production fields		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
nodules	nodules		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
symptomatic wheat leaf	symptomatic wheat leaf		Isolation_Site_SD	leaf tissue		approved	high	preexisting	none	pass	none
pleural fluid	pleural fluid		Isolation_Site_SD	pleural fluid		approved	high	preexisting	none	pass	none
stomach	Stomach		Isolation_Site_SD	stomach		approved	high	preexisting	none	pass	none
breast meat	breast meat		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
pharygeal swab	Pharygeal Swab		Sample_Type_SD	oral/oropharyngeal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
nasal cavity uberon 0001707	nasal cavity [UBERON:0001707]		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
pea root nodules	Pea root nodules		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
pea nodule	pea nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
black locust nodules	black locust nodules		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
pharynx	pharynx		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
pongamia pinnata nodule	Pongamia pinnata nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
placenta	placenta		Isolation_Site_SD	placenta		approved	high	preexisting	none	pass	none
oropharynx	oropharynx		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
abscess	Abscess		Isolation_Site_SD	abscess		approved	high	preexisting	none	pass	none
root canal of tooth	Root canal of tooth		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
lymph node abscess	lymph node abscess		Isolation_Site_SD	abscess		approved	high	preexisting	none	pass	none
uterine swab	uterine swab		Sample_Type_SD	urogenital swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
pharyngeal	Pharyngeal		Isolation_Site_SD	nasopharynx/oropharynx		approved	high	preexisting	none	pass	none
cystocentesis urine sample	Cystocentesis Urine Sample		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
phaseolus vulgaris nodule	Phaseolus vulgaris nodule		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
liver abcess	Liver abcess		Isolation_Site_SD	liver		approved	high	preexisting	none	pass	none
