synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
feces from mastitis cow,Isolation Source,feces from mastitis cow,feces from mastitis cow,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of a diseased cow,Isolation Source,feces of a diseased cow,feces of a diseased cow,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal sample from chicken,Isolation Source,fecal sample from chicken,fecal sample from chicken,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
wastewater treatment plants in seville,Environment (Local Scale),wastewater treatment plants in seville,wastewater treatment plants in seville,Environment_Medium_SD,wastewater,wastewater,wastewater,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
lake envo 00000020,Environment Medium,lake envo 00000020,lake envo 00000020,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
healthy human feces,Isolation Source,healthy human feces,healthy human feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal sample extract in 12.5 glycerol and 0.9 nacl,Environment Medium,fecal sample extract in 12.5 glycerol and 0.9 nacl,fecal sample extract in 12 5 glycerol and 0 9 nacl,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of healthy 12 day male infants,Isolation Source,feces of healthy 12 day male infants,feces of healthy 12 day male infants,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal material envo 00002013,Environment Medium,fecal material envo 00002013,fecal material envo 00002013,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
the rhizosphere,Environment (Local Scale),the rhizosphere,the rhizosphere,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
general department icu,Host Health State,general department icu,general department icu,Isolation_Source_SD,healthcare facility,healthcare facility,healthcare facility,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: healthcare-associated location
cystocentesis urine,Host Disease,cystocentesis urine,cystocentesis urine,Sample_Type_SD,urine,urine,urine,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: clinical material
human adult fecal sample,Isolation Source,human adult fecal sample,human adult fecal sample,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
banana blood disease,Host Disease,banana blood disease,banana blood disease,Sample_Type_SD,blood,blood,blood,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: clinical material
intestine environment envo 2100002 fecal environment envo 01001029,Environment (Local Scale),intestine environment envo 2100002 fecal environment envo 01001029,intestine environment envo 2100002 fecal environment envo 01001029,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
envo feces,Environment Medium,envo feces,envo feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
sediment freshwater minnesota,Isolation Site,sediment freshwater minnesota,sediment freshwater minnesota,Environment_Medium_SD,sediment,sediment,sediment,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
female pig fecal storage tank,Isolation Source,female pig fecal storage tank,female pig fecal storage tank,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
rhizosphere 5ppm,Environment (Local Scale),rhizosphere 5ppm,rhizosphere 5ppm,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
crow feces,Environment Medium,crow feces,crow feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces from a healthy human,Isolation Source,feces from a healthy human,feces from a healthy human,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cow faeces,Environment Medium,cow faeces,cow faeces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
lake,Sample Type,lake,lake,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
rhizosphere zone,Environment (Local Scale),rhizosphere zone,rhizosphere zone,Environment_Medium_SD,soil,soil,soil,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
feces of naemorhedus caudatus,Environment Medium,feces of naemorhedus caudatus,feces of naemorhedus caudatus,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
microbial mat floating in the lake,Environment Medium,microbial mat floating in the lake,microbial mat floating in the lake,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
water sample from a subterranean saline lake on mallorca spain,Isolation Site,water sample from a subterranean saline lake on mallorca spain,water sample from a subterranean saline lake on mallorca spain,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
low mineralized lake,Sample Type,low mineralized lake,low mineralized lake,Environment_Medium_SD,lake water,lake water,lake water,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: water type
poultry fresh feces,Isolation Source,poultry fresh feces,poultry fresh feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal samples from healthy people,Isolation Source,fecal samples from healthy people,fecal samples from healthy people,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
food chicken feces,Isolation Source,food chicken feces,food chicken feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
animal swine faeces,Isolation Source,animal swine faeces,animal swine faeces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal swabs of 21 day old healthy commercial broiler chickens,Isolation Source,fecal swabs of 21 day old healthy commercial broiler chickens,fecal swabs of 21 day old healthy commercial broiler chickens,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
animal chicken feces,Isolation Source,animal chicken feces,animal chicken feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces from chicken intestine,Isolation Source,feces from chicken intestine,feces from chicken intestine,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
wild chicken feces,Isolation Source,wild chicken feces,wild chicken feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces feral swine,Isolation Source,feces feral swine,feces feral swine,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of a female patient,Isolation Source,feces of a female patient,feces of a female patient,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
ehxa deletion mutant derived from parent strain edl933 originally isolated from human feces,Isolation Source,ehxa deletion mutant derived from parent strain edl933 originally isolated from human feces,ehxa deletion mutant derived from parent strain edl933 originally isolated from human feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces steer,Isolation Source,feces steer,feces steer,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces from pig,Isolation Source,feces from pig,feces from pig,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of patient with hemolytic uremic syndrome,Isolation Source,feces of patient with hemolytic uremic syndrome,feces of patient with hemolytic uremic syndrome,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
poultry fecal material,Isolation Source,poultry fecal material,poultry fecal material,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of a male patient with diarrhea,Isolation Source,feces of a male patient with diarrhea,feces of a male patient with diarrhea,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of a female patient with diarrhea,Isolation Source,feces of a female patient with diarrhea,feces of a female patient with diarrhea,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
stool sample from male patient with ehec associated symptoms,Isolation Source,stool sample from male patient with ehec associated symptoms,stool sample from male patient with ehec associated symptoms,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
stool sample from female patient with ehec symptoms,Isolation Source,stool sample from female patient with ehec symptoms,stool sample from female patient with ehec symptoms,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal sample of a patient suffering from bloody diarrhea and abdominal pain,Isolation Source,fecal sample of a patient suffering from bloody diarrhea and abdominal pain,fecal sample of a patient suffering from bloody diarrhea and abdominal pain,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces from chicken,Isolation Source,feces from chicken,feces from chicken,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces human,Isolation Source,feces human,feces human,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
heifer feces,Isolation Source,heifer feces,heifer feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
chicken feces houseback,Isolation Source,chicken feces houseback,chicken feces houseback,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cow fecal manure,Isolation Source,cow fecal manure,cow fecal manure,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
enrichment of guinea pig fecal samples,Isolation Source,enrichment of guinea pig fecal samples,enrichment of guinea pig fecal samples,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
pig faecal sample,Isolation Source,pig faecal sample,pig faecal sample,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
turkey faeces,Isolation Source,turkey faeces,turkey faeces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
wild pig fecal,Isolation Source,wild pig fecal,wild pig fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
human feces patient 2 outbreak technical replicate 4,Isolation Source,human feces patient 2 outbreak technical replicate 4,human feces patient 2 outbreak technical replicate 4,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
human feces patient 2 outbreak technical replicate 3,Isolation Source,human feces patient 2 outbreak technical replicate 3,human feces patient 2 outbreak technical replicate 3,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
human feces patient 2 outbreak technical replicate 1,Isolation Source,human feces patient 2 outbreak technical replicate 1,human feces patient 2 outbreak technical replicate 1,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
human feces patient 2 outbreak technical replicate 2,Isolation Source,human feces patient 2 outbreak technical replicate 2,human feces patient 2 outbreak technical replicate 2,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
human faeces of child with acute non specific diarrhea,Isolation Source,human faeces of child with acute non specific diarrhea,human faeces of child with acute non specific diarrhea,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces dry cow,Isolation Source,feces dry cow,feces dry cow,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces milking cow,Isolation Source,feces milking cow,feces milking cow,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
enriched cattle feces,Isolation Source,enriched cattle feces,enriched cattle feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
cow faeces organized dairy production system,Isolation Source,cow faeces organized dairy production system,cow faeces organized dairy production system,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
fecal of pig,Isolation Source,fecal of pig,fecal of pig,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
the feces of a colorectal cancer patient,Isolation Source,the feces of a colorectal cancer patient,the feces of a colorectal cancer patient,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of patient with dysentery,Isolation Source,feces of patient with dysentery,feces of patient with dysentery,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
sheep fecal,Isolation Source,sheep fecal,sheep fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces of a hospitalized patient,Isolation Source,feces of a hospitalized patient,feces of a hospitalized patient,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
dairy cattle fecal,Isolation Source,dairy cattle fecal,dairy cattle fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
healthy human fecal,Isolation Source,healthy human fecal,healthy human fecal,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
feces from healthy human,Isolation Source,feces from healthy human,feces from healthy human,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch5_high_confidence_audit_suggestion,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
